video_id,image_path,airflow_rate,material,delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,overall_std_deltaT,temp_max_overall_initial,temp_std_avg_initial,material_brick_cladding,material_gypsum
temp_2025-3-7-17-45-42_21.4_26_4.6_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-45-42_21.4_26_4.6_.npy,1.8,gypsum,1.7227665977411035,4.574710978503383,0.005384879861620487,0.3091130829491999,24.0929527282715,0.28143753028753854,0,1
temp_2025-3-7-17-26-11_21.4_30_8.6_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-26-11_21.4_30_8.6_.npy,1.8,gypsum,2.2617630984737906,5.389071729816501,0.002661812874324858,0.4212908713346087,24.4036922454834,0.3582146568649696,0,1
temp_2025-3-7-17-14-11_21.4_35_13.6_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-14-11_21.4_35_13.6_.npy,1.8,gypsum,2.681021528714291,3.258096538021482,0.008634249156807362,0.2800695832472065,24.48459815979,0.2764322332294832,0,1
temp_2025-3-7-17-19-46_21.4_32.5_11.1_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-19-46_21.4_32.5_11.1_.npy,1.8,gypsum,2.4932054526026954,5.3230099791384085,0.005545091664002859,0.4478808676834694,24.6596603393555,0.35044263530812786,0,1
temp_2025-3-7-17-37-1_21.4_27.5_6.1_,dataset_gypsum/FanPower_1.8V/temp_2025-3-7-17-37-1_21.4_27.5_6.1_.npy,1.8,gypsum,1.9600947840472698,4.2626798770413155,0.007574904120538258,0.3030155579533431,24.2011489868164,0.265317035559727,0,1
temp_2025-2-27-18-43-42_21.7_30_8.3_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-43-42_21.7_30_8.3_.npy,2.4,gypsum,2.2300144001592104,4.77912349311153,0.005843975304012183,0.6997136143396724,26.3538379669189,0.634027999478478,0,1
temp_2025-2-27-18-31-1_21.7_35_13.3_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-31-1_21.7_35_13.3_.npy,2.4,gypsum,2.6602595372658615,5.236441962829949,0.003849741261697778,0.826992582574958,26.6576137542725,0.6991380374023631,0,1
temp_2025-2-27-18-55-1_21.7_27.5_5.8_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-55-1_21.7_27.5_5.8_.npy,2.4,gypsum,1.916922612182061,4.709530201312334,0.006131848497524235,0.5919957957827351,25.9163799285889,0.5544930568851012,0,1
temp_2025-2-27-18-36-28_21.7_32.5_10.8_,dataset_gypsum/FanPower_2.4V/temp_2025-2-27-18-36-28_21.7_32.5_10.8_.npy,2.4,gypsum,2.468099531471619,3.58351893845611,0.011552740889516976,0.5162126019250155,26.6839809417725,0.43889828420889365,0,1
temp_2025-3-7-19-14-21_21.4_35_13.6_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-14-21_21.4_35_13.6_.npy,1.6,gypsum,2.681021528714291,5.241747015059643,0.002256532833609256,0.40407515562083557,24.1335315704346,0.30496494120663004,0,1
temp_2025-3-7-19-26-18_21.4_30_8.6_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-26-18_21.4_30_8.6_.npy,1.6,gypsum,2.2617630984737906,4.941642422609304,0.0034073896533161484,0.3787971791402306,24.2822170257568,0.31898874197760924,0,1
temp_2025-3-7-19-19-42_21.4_32.5_11.1_,dataset_gypsum/FanPower_1.6V/temp_2025-3-7-19-19-42_21.4_32.5_11.1_.npy,1.6,gypsum,2.4932054526026954,5.332718793265369,0.0022866508679827654,0.41247739198223654,24.3362293243408,0.33088860504772627,0,1
